ABG	arterial blood gas
ACE	angiotensin-converting enzyme
ACTH	adrenocorticotropic hormone
AFVSS	Afebrile vital signs stable
ADH	antidiuretic hormone
AED	automated external defibrillator
AIDS	acquired immunodeficiency syndrome
ALP	alkaline phosphatase
ALT	alanine aminotransferase
ASA	acetylsalicylic acid
AST	aspartate aminotransferase
ATP	adenosine triphosphate
BCG	bacille Calmette-Guérin
bid	2 times a day
bd	2 times a day
BIBA	brought in by ambulance
BIBP	brought in by police
BIBPD	brought in by police
BLS	basic life support
BMR	basal metabolic rate
BP	blood pressure
BPAD	bipolar affective disorder
BPD	borderline personality disorder
BSA	body surface area
BR	bedside rounds
BUN	blood urea nitrogen
C	Celsius
Ca	calcium
CAMP	cyclic adenosine monophosphate
cAMP	cyclic adenosine monophosphate
CBC	complete blood count
CDC	Centers for Disease Control and Prevention
cGy	centigray
Ci	curie
CK	creatine kinase
Cl	chloride; chlorine
cm	centimeter(s)
cm	centimetre(s)
CNS	central nervous system
CO2	carbon dioxide
COPD	chronic obstructive pulmonary disease
CPK	creatine phosphokinase
CPK-MB	creatine phosphokinase muscle bandisoenzyme
CPR	cardiopulmonary resuscitation
CSF	cerebrospinal fluid
CT	computed tomography
Cu	cubic
D&C	dilation and curettage
dL	deciliter(s)
dL	decilitre(s)
DNA	deoxyribonucleic acid
DTP	diphtheria-tetanus-pertussis
D/W	dextrose in water
ECF	extracellular fluid
ECG	electrocardiogram
EEG	electroencephalogram
EGD	esophagogastroduodenoscopy
ENT	ear nose and throat
ERCP	endoscopic retrograde cholangiopancreatography
ESR	erythrocyte sedimentation rate
F	Fahrenheit
FDA	U.S. Food and Drug Administration
Ft	foot
Ft	feet
FUO	fever of unknown origin
G	gram(s)
g	gram(s)
GFR	glomerular filtration rate
GI	gastrointestinal
GVHD	Graft-versus-host disease
G6PD	glucose-6-phosphate dehydrogenase
GU	genitourinary
Gy	gray
H	hour(s)
h	hour(s)
hr	hour(s)
Hb	hemoglobin
HCl	hydrochloric acid
HCl	hydrochloride
HCO3	bicarbonate
Hct	hematocrit
Hg	mercury
HIPAA	Health Insurance Portability and Accountability Act
HIV	human immunodeficiency virus
HLA	human leukocyte antigen
HMG-CoA	hydroxymethyl glutaryl coenzyme A
hs	at bedtime
Hz	hertz
ICF	intracellular fluid
ICU	intensive care unit
IgA	immunoglobin A
IL	interleukin
IM	intramuscular(ly)
INR	international normalized ratio
IPPB	intermittent positive pressure breathing
IU	international unit
IVU	intravenous urography
K	potassium
kcal	kilocalorie(s)
kg	kilogram(s)
L	liter(s)
L	litre(s)
lb	pound(s)
LDH	lactic dehydrogenase
LDLc	low-density lipoprotein cholesterol
M	molar
m	meter(s)
m	metre(s)
mane	in the morning
mc	micro
MCH	mean corpuscular hemoglobin
MCHC	mean corpuscular hemoglobin concentration
mCi	millicurie
MCV	mean corpuscular volume
mEq	Milliequivalent
midi	midday
Mg	magnesium
mg	milligram(s)
MI	myocardial infarction
MIC	minimum inhibitory concentration
min	minute
mins	minutes
mIU	milli-international unit
mL	milliliter(s)
mL	millilitre(s)
ml	milliliter(s)
mm	millimeter(s)
mm	millimetre(s)
mmol	millimole(s)
mo	month
mol	wt molecular weight
mOsm	milliosmole(s)
MRI	magnetic resonance imaging
N	nitrogen
Na	sodium
NaCl	sodium chloride
NAEON	no adverse events overnight
ng	nanogram
nm	nanometer
nmol	nanomole
nocte	at night
Npo	nothing by mouth
NSAID	nonsteroidal anti-inflammatory drug
O2	oxygen
OTC	over-the-counter
oz	ounce(s)
P	phosphorus
P	pressure
PAco2	alveolar carbon dioxide partial pressure
Paco2	arterial carbon dioxide partial pressure
PAo2	alveolar oxygen partial pressure
Pao2	arterial oxygen partial pressure
PAS	periodic acid-Schiff
Pco2	carbon dioxide partial pressure
PCR	polymerase chain reaction
PET	positron emission tomography
pg	picogram(s)
pH	hydrogen ion concentration
PMN	polymorphonuclear leukocyte
po	orally
Po2	oxygen partial pressure
PPD	purified protein derivative
ppm	parts per million
prn	as needed
PT	prothrombin time
PTT	partial thromboplastin time
q	every
qid	4 times a day
RA	rheumatoid arthritis
RBC	red blood cell
RNA	ribonucleic acid
Sao2	arterial oxygen saturation
SBE	subacute bacterial endocarditis
sc	subcutaneous(ly)
SI	International System of Units
SIDS	sudden infant death syndrome
SLE	systemic lupus erythematosus
soln	solution
sp	species
spp	species
sp gr	specific gravity
sq	square
SSRI	selective serotonin reuptake inhibitor
STS	serologic test(s) for syphilis
T&A	tonsillectomy and adenoidectomy
TB	tuberculosis
tds	3 times a day
TIBC	total iron-binding capacity
tid	3 times a day
TPN	total parenteral nutrition
URI	upper respiratory infection
UTI	urinary tract infection
WBC	white blood cell
WHO	World Health Organization
WR	ward round
wt	weight
μ	micro
μ	micron
μCi	microcurie
μg	microgram(s)
μL	microliter(s)
μL	microlitre(s)
μm	micrometer(s)
μm	micrometre(s)
μmol	micromole(s)
μOsm	micro-osmole(s)
mμ	millimicron(s)
Ac	before meals
ad lib	at will
ad lib	as desired
adm	admission
adm	admitted
ASAP	as soon as possible
Bid	twice a day
Bm	bowel movement
BP	blood pressure
BRP	bathroom privileges
C	Centigrade
C	Celsius
Cap	capsule
CC	chief complaint
cc	cubic centimeter
c/o	complains of
C02	carbon dioxide
CPR	cardiopulmonary resuscitation
CXR	chest x-ray
d/c	discontinue
d/c	discharge
ECG	electrocardiogram
EKG	electrocardiogram
EBL	estimated blood loss
ER	emergency room
F	Fahrenheit
Fb	foreign body
fx	fracture
gtt	drop-liquid measurement
H&P	history and physical
HR	heart rate
hr	hour
hs	hour of sleep
H2O	water
i	1
ii	2
iii	3
iv	4
v	5
I	1
II	2
III	3
IV	4
V	5
I&O	intake and output
IDDM	insulin dependent diabetes mellitus
IV	intravenous
IM	intramuscular
Mg	milligram
Ml	milliliter
MVA	motor vehicle accident
NPO	nothing by mouth
NTG	nitroglycerin
O2	oxygen
OD	right eye
OS	left eye
OU	both eyes
post-op	postoperative
pre-op	preoperative
po	by mouth
pt	patient
prn	as needed
pc	after meals
qd	every day
qh	every hour
qid	four times a day
qod	every other day
Rx	prescription
Rx	treatment
sc	subcutaneous
s	without
sx	symptoms
s/s	signs and symptoms
stat	immediately
SOB	short of breath
tab	tablet
TPR	temperature, pulse, respiration
vs	vital signs
AA	amino acid
ABG	arterial blood gas
ADM	admission
ALS	advanced life support
AMA	against medical advice
AMA	American Medical Association
ASAP	as soon as possible
A&W	alive and well
C	centigrade
C	celsius
CC	cubic centimeter
CC	chief complaint
CC	critical care
C/O	complains of
C/O	care of
CO2	carbon dioxide
D/C	discontinue
DNR	do not resuscitate
DO	disorder
DOA	dead on arrival or date of admission
DOB	date of birth
DOT	directly observed therapy
DSM	Diagnostic and Statistical Manual of Mental Disorders
EDC	estimated date of confinement
EDD	estimated delivery date
EGA	estimated gestational age
ER	emergency room
F	fahrenheit
H&P	history and physical examination
HPI	history of present illness
H/O	history of
HR	heart rate or hour
HS	hour of sleep
ICU	intensive care unit
ID	infectious diseases
IP	inpatient
IQ	intelligence quotient
IU	international units
MCO	managed care organization
MG	milligram
MVA	motor vehicle accident
ML	milliliter
NKDA	no known drug allergies
NTG	nitroglycerin
OPD	outpatient department
P	pulse
Post-op	postoperative
Pre-op	preoperative
PA	patient
PT	patient
PCP	primary care physician
PPE	personal protection equipment
RBC	red blood cell
RF	risk factor
S	without
SX	symptoms
S/S	signs and symptoms
STAT	immediately
T	temperature
TPR	temperature, pulse, respiration
USOH	usual state of health
VS	vital signs
VSS	vital signs stable
WB	whole blood
WBC	white blood cell
WNL	within normal limits
ABX	antibiotics
AC	before meals
Ad lib	at will
BID	twice a day
CAP	capsule
GTT	drop-liquid measurement
i	1
ii	2
iii	3
iv	4
v	5
MDD	maximum daily dose
NPO	nothing by mouth
OCP	oral contraceptive pill
OPV	oral polio vaccine
OTC	over the counter
PC	after meals
PCN	penicillin
PNV	prenatal vitamins
PO	by mouth
PRN	as needed
q2h	every 2 hours
q3h	every 3 hours
qam	every morning
qd	once a day
qh	once every hour
qhs	at bedtime
qod	every other day
qpm	every evening
RDI	recommended daily intake
Rx	prescription
SC	subcutaneous
SQ	subcutaneous
TAB	tablet
TIW	three times a week
AXR	abdominal x-ray
BAC	blood alcohol content
BC	birth control
BE	barium enema
BMT	bone marrow transplant
Bx	biopsy
BRP	bathroom privileges
CXR	chest x-ray
ECC	emergency cardiac care
ECG or EKG	electrocardiogram
ECMO	extracorporeal membrane oxygenation
